scenario,min_method,max_method,min_el_plus_ul,max_el_plus_ul,abs_diff,rel_diff
164,Изотоническая регрессия,Бета-калибровка,662830937.8604934,688375777.3427575,25544839.482264042,0.0385389969344498
165,Изотоническая регрессия,Бета-калибровка,660505247.0939554,686256477.8927586,25751230.79880321,0.03898717067290785
166,Изотоническая регрессия,Бета-калибровка,665642623.190532,690971430.7510092,25328807.560477257,0.03805166117378754
167,Изотоническая регрессия,Бета-калибровка,661085868.3873651,687195108.4289808,26109240.041615725,0.039494476118973616
168,Изотоническая регрессия,Бета-калибровка,655495152.9419043,681911485.220011,26416332.27810669,0.04029981329312428
169,Изотоническая регрессия,Бета-калибровка,658395868.4746606,684078424.6937475,25682556.219086885,0.03900777244940339
170,Изотоническая регрессия,Бета-калибровка,656500615.5125802,682275095.7228391,25774480.21025896,0.039260405247502864
171,Изотоническая регрессия,Бета-калибровка,666375065.1011478,691204248.2316974,24829183.13054967,0.037260072338962585
172,Изотоническая регрессия,Бета-калибровка,660950627.4203701,686037811.5043671,25087184.08399701,0.03795621494741597
173,Изотоническая регрессия,Бета-калибровка,658540578.0381926,684097497.0467925,25556919.008599877,0.038808419497450744
174,Изотоническая регрессия,Бета-калибровка,661375562.0395856,686378410.9825883,25002848.9430027,0.03780431327988226
175,Изотоническая регрессия,Бета-калибровка,664078457.0557157,689645133.1583915,25566676.102675796,0.03849948124507639
176,Изотоническая регрессия,Бета-калибровка,660736147.9984889,686715429.511925,25979281.51343608,0.0393186926311401
177,Изотоническая регрессия,Бета-калибровка,662206719.7193613,687384532.2413855,25177812.522024155,0.038021076760885696
178,Изотоническая регрессия,Бета-калибровка,665569093.8143225,690726545.9616761,25157452.14735365,0.03779840798072268
179,Изотоническая регрессия,Бета-калибровка,663096385.8299356,688067649.8191805,24971263.989244938,0.03765857350887345
180,Изотоническая регрессия,Бета-калибровка,661948729.8045323,687243826.269253,25295096.464720726,0.038213075009888076
181,Изотоническая регрессия,Бета-калибровка,658932084.6402433,684847356.0898519,25915271.449608564,0.03932919955439339
182,Изотоническая регрессия,Бета-калибровка,658889907.3659685,684629559.2595724,25739651.89360392,0.03906517857664998
183,Изотоническая регрессия,Бета-калибровка,663482179.2864985,688606523.3480487,25124344.06155014,0.03786739847115198
184,Изотоническая регрессия,Бета-калибровка,664983765.4033843,690272034.9931583,25288269.589774013,0.0380284014519271
185,Изотоническая регрессия,Бета-калибровка,664381947.1379068,689538036.0827656,25156088.94485879,0.037863895991197216
186,Изотоническая регрессия,Бета-калибровка,663445897.5953432,688811670.5438309,25365772.94848764,0.03823337070954207
187,Изотоническая регрессия,Бета-калибровка,660668097.2274778,686218698.5056815,25550601.278203726,0.03867388388424979
188,Изотоническая регрессия,Бета-калибровка,659940229.5795105,685477102.3704295,25536872.790919065,0.03869573583533499
189,Изотоническая регрессия,Бета-калибровка,661627707.7188016,686461346.064607,24833638.345805407,0.037534157134120436
190,Изотоническая регрессия,Бета-калибровка,659252604.6923766,684687287.7442548,25434683.051878214,0.03858108844901213
191,Изотоническая регрессия,Бета-калибровка,659525209.9042628,684980447.2323151,25455237.328052282,0.03859630677612367
192,Изотоническая регрессия,Бета-калибровка,658983926.8159771,684552863.2183421,25568936.40236497,0.03880054635916053
193,Изотоническая регрессия,Бета-калибровка,655992809.5516064,681795051.1385093,25802241.586902857,0.0393331164781205
194,Изотоническая регрессия,Бета-калибровка,658075103.269981,683900130.3002574,25825027.030276418,0.03924328226664651
195,Изотоническая регрессия,Бета-калибровка,658562127.4152333,684400027.8579397,25837900.442706466,0.03923380857644625
196,Изотоническая регрессия,Бета-калибровка,663354570.0924761,688276662.2722646,24922092.17978847,0.03756979043095182
197,Изотоническая регрессия,Бета-калибровка,664607111.9400195,689546752.3405464,24939640.40052688,0.03752538898918324
198,Изотоническая регрессия,Бета-калибровка,663221108.284309,688571050.9259398,25349942.64163077,0.038222460541415364
199,Изотоническая регрессия,Бета-калибровка,660398995.8858967,685914146.6781392,25515150.792242527,0.03863596242755496
200,Изотоническая регрессия,Бета-калибровка,661904099.87549,687266917.1879797,25362817.312489748,0.03831796376130729
201,Изотоническая регрессия,Бета-калибровка,659339047.9513943,684935318.7028289,25596270.751434565,0.03882110551614333
202,Изотоническая регрессия,Бета-калибровка,657787270.6665245,684294433.391031,26507162.724506497,0.04029746987600907
203,Изотоническая регрессия,Бета-калибровка,666039611.0084496,691297762.367317,25258151.358867407,0.03792289668871807
204,Изотоническая регрессия,Бета-калибровка,662964465.0222356,688284589.2546418,25320124.23240614,0.03819227962928135
205,Изотоническая регрессия,Бета-калибровка,656198828.1815526,681695273.0691924,25496444.88763976,0.038854755285520834
206,Изотоническая регрессия,Бета-калибровка,660656633.862913,686176697.5069549,25520063.644041896,0.03862833177777087
207,Изотоническая регрессия,Бета-калибровка,662733572.9736782,687529957.3752861,24796384.40160787,0.03741531350275008
208,Изотоническая регрессия,Бета-калибровка,661781836.4880046,687045730.7919526,25263894.303948045,0.03817556317051621
209,Изотоническая регрессия,Бета-калибровка,659232420.5853266,685014820.3606224,25782399.775295854,0.039109726661203784
210,Изотоническая регрессия,Бета-калибровка,659148026.1356015,684745550.5799112,25597524.44430971,0.038834257904678496
211,Изотоническая регрессия,Бета-калибровка,663327000.7438383,688359058.4764526,25032057.73261428,0.037737130713123325
212,Изотоническая регрессия,Бета-калибровка,657807574.11359,682762529.185958,24954955.072368026,0.03793655782391282
213,Изотоническая регрессия,Бета-калибровка,661316168.4473046,686810928.3089018,25494759.86159718,0.03855154474970117
214,Изотоническая регрессия,Бета-калибровка,661481939.4199293,686919615.1423,25437675.722370744,0.03845558617167644
215,Изотоническая регрессия,Бета-калибровка,664399425.0011523,690397228.8062266,25997803.805074334,0.039129780711398485
216,Изотоническая регрессия,Бета-калибровка,661280670.9770352,687346351.5178733,26065680.540838122,0.03941697025912818
217,Изотоническая регрессия,Бета-калибровка,660302388.6433017,685938406.8015348,25636018.158233047,0.03882466366796946
218,Изотоническая регрессия,Бета-калибровка,659987865.7143776,685537758.620728,25549892.906350374,0.03871267069235418
219,Изотоническая регрессия,Бета-калибровка,662084046.9334424,687501281.3432438,25417234.409801483,0.03838973998471317
220,Изотоническая регрессия,Бета-калибровка,667204643.1022093,691632921.4121002,24428278.309890866,0.036612872171137886
221,Изотоническая регрессия,Бета-калибровка,665350080.0904169,690001252.5876461,24651172.49722922,0.03704992790243488
222,Изотоническая регрессия,Бета-калибровка,659888786.6722322,684836448.9599175,24947662.287685394,0.03780585879250126
223,Изотоническая регрессия,Бета-калибровка,660855017.4170055,686072649.8631892,25217632.44618368,0.03815909962331591
224,Изотоническая регрессия,Бета-калибровка,665080570.9003118,690267183.9477875,25186613.047475696,0.037870017783530906
225,Изотоническая регрессия,Бета-калибровка,656875641.8475343,682101180.8083491,25225538.960814834,0.03840230532809111
226,Изотоническая регрессия,Бета-калибровка,662854874.8322217,688415798.1439903,25560923.31176853,0.03856186969770476
227,Изотоническая регрессия,Бета-калибровка,658790590.9453747,684702092.8109962,25911501.865621448,0.03933192462332839
228,Изотоническая регрессия,Бета-калибровка,658767124.5216804,684607358.5953743,25840234.07369399,0.03922514210534739
229,Изотоническая регрессия,Бета-калибровка,662080762.8791734,686878568.4499778,24797805.570804358,0.03745435143435793
230,Изотоническая регрессия,Бета-калибровка,661332258.722765,687608281.3507595,26276022.627994537,0.03973195361548154
231,Изотоническая регрессия,Бета-калибровка,663821244.4300362,689382284.4884683,25561040.058432102,0.03850590843982265
232,Изотоническая регрессия,Бета-калибровка,661642315.4938015,687201268.5892602,25558953.095458746,0.038629562373717605
233,Изотоническая регрессия,Бета-калибровка,659506110.8084909,685133928.993232,25627818.18474114,0.03885910648094512
234,Изотоническая регрессия,Бета-калибровка,660315066.382713,685197255.9537064,24882189.570993423,0.03768229870522433
235,Изотоническая регрессия,Бета-калибровка,663907545.7161616,689147887.7069557,25240341.990794063,0.03801785678390977
236,Изотоническая регрессия,Бета-калибровка,663780564.0107819,689671835.6142714,25891271.60348952,0.03900576938716899
237,Изотоническая регрессия,Бета-калибровка,657628601.3846562,682863623.2387159,25235021.854059696,0.038372755991644254
238,Изотоническая регрессия,Бета-калибровка,660843196.9013213,686425214.1812608,25582017.279939532,0.03871117596412134
239,Изотоническая регрессия,Бета-калибровка,657236028.2574735,682853532.1937337,25617503.936260223,0.038977631832174175
240,Изотоническая регрессия,Бета-калибровка,658146184.1781547,683823084.4792354,25676900.301080704,0.03901397731743162
241,Изотоническая регрессия,Бета-калибровка,662060505.1476197,687384107.8499017,25323602.702281952,0.03824968036212271
242,Изотоническая регрессия,Бета-калибровка,665126585.4652115,689807707.361336,24681121.896124482,0.03710740547058676
243,Изотоническая регрессия,Бета-калибровка,660197202.7504216,685896122.9417471,25698920.191325426,0.038926127048497274
244,Изотоническая регрессия,Бета-калибровка,664303635.859287,690285584.4458554,25981948.586568356,0.03911155559604954
245,Изотоническая регрессия,Бета-калибровка,661466568.7765881,687245927.7638083,25779358.987220168,0.038973033867607615
246,Изотоническая регрессия,Бета-калибровка,661443412.5176809,686393244.7727439,24949832.255063057,0.03772028231424276
247,Изотоническая регрессия,Бета-калибровка,665884523.4691259,691031488.199016,25146964.729890108,0.03776475326214135
248,Изотоническая регрессия,Бета-калибровка,659397972.8143785,683849308.7486117,24451335.93423319,0.037081302858533775
249,Изотоническая регрессия,Бета-калибровка,662535022.1790631,687426825.8729208,24891803.69385767,0.03757054776061358
250,Изотоническая регрессия,Бета-калибровка,654970508.1156077,680202835.8265874,25232327.7109797,0.038524372316510444
