method,n_bins,alpha,shrinkage,fit_ct,fit_mean_pd,fit_ct_gap_abs,oot_default_rate,oot_mean_pd,oot_default_gap,oot_abs_default_gap,brier_score,log_loss,ece_quantile,cal_slope,cal_intercept,rwa_bln,rwa_delta_vs_logit_pct,rwa_abs_delta_to_minus_1pct,candidate_switch_knots,n_binomial_bins,significant_bins_5pct,max_abs_z,min_binomial_p_value,mean_abs_dr_minus_pd
Французский сплайн,30.0,20.0,0.75,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.04909010107566437,-15.814727040030505,15.814727040030505,0.03393,0.13055,0.0052,0.9811,-0.0893,8.545022961010554,-0.007114151348177348,0.002885848651822652,7.0,10.0,2.0,3.9625546479839144,0.00178785980302906,0.004981446430619513
Французский сплайн,50.0,20.0,0.25,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04907636880196785,-15.694212606069868,15.694212606069868,0.03402,0.13049,0.00516,0.9746,-0.1015,8.54493282729502,-0.0071035282122487164,0.0028964717877512838,12.0,10.0,2.0,3.1804600130068166,0.007125824492082564,0.0049397943123317845
Французский сплайн,35.0,20.0,0.45,0.04807199590058929,0.04807199590058924,4.85722573273506e-17,0.047288058340929806,0.049059925016885025,-15.549901948182992,15.549901948182992,0.03394,0.13042,0.00511,0.9775,-0.0957,8.544838434054295,-0.007092403049805141,0.0029075969501948596,9.0,10.0,2.0,3.566764339932262,0.00361020450766466,0.004888769419706928
Монотонный сплайн,30.0,20.0,,0.04807199590058929,0.048071995900183594,4.056963098797439e-13,0.047288058340929806,0.04909184664178723,-15.830046128324739,15.830046128324739,0.03395,0.1309,0.00492,0.9923,-0.0667,8.594415666699524,-0.012935562607071734,0.002935562607071734,8.0,10.0,2.0,4.88478927948307,0.0001672832266544039,0.005175015548763422
Французский сплайн,20.0,75.0,0.15,0.04807199590058929,0.048071995900589186,1.0408340855860843e-16,0.047288058340929806,0.049070240019695524,-15.640426412847944,15.640426412847944,0.03406,0.13054,0.00525,0.9728,-0.1049,8.544352656738019,-0.007035149463494333,0.002964850536505667,5.0,10.0,2.0,3.037078826555704,0.009146574687133787,0.005035319109100735
Французский сплайн,25.0,35.0,0.3,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.04906759636655083,-15.617225712850086,15.617225712850086,0.034,0.13045,0.00517,0.9752,-0.1002,8.544158436496385,-0.007012258717065819,0.0029877412829341808,6.0,10.0,2.0,3.31123351424089,0.005666470148037751,0.004950233811491846
Французский сплайн,80.0,20.0,0.25,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.04907448809981144,-15.677707563945205,15.677707563945205,0.03402,0.13045,0.00501,0.9796,-0.0914,8.595438171754875,-0.013056074783079687,0.003056074783079687,20.0,10.0,2.0,2.9476207844336355,0.010677545448362042,0.004790343440962751
Французский сплайн,35.0,75.0,0.15,0.04807199590058929,0.04807199590058923,6.245004513516506e-17,0.047288058340929806,0.04905787661901518,-15.531925208477219,15.531925208477219,0.03402,0.13042,0.00506,0.9788,-0.0926,8.596089678891438,-0.013132861242277062,0.003132861242277062,9.0,10.0,2.0,2.8378127131425566,0.012895806420705041,0.004844641350809813
Французский сплайн,10.0,75.0,0.3,0.04807199590058929,0.04807199590058917,1.1796119636642288e-16,0.047288058340929806,0.049068108237368166,-15.621717891143021,15.621717891143021,0.03409,0.1307,0.00522,0.9768,-0.0961,8.542336505507985,-0.006797526411538945,0.003202473588461055,2.0,10.0,2.0,3.3525446316576963,0.00526947013858031,0.004997041276306598
Французский сплайн,40.0,35.0,0.15,0.04807199590058929,0.04807199590058919,9.71445146547012e-17,0.047288058340929806,0.04906973184790121,-15.635966697181061,15.635966697181061,0.03404,0.1305,0.00524,0.972,-0.106,8.54137886265763,-0.006684658877896179,0.0033153411221038213,10.0,10.0,2.0,3.0201298043771083,0.0094193359603363,0.005026431083721134
Французский сплайн,15.0,50.0,0.75,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.049097211159973245,-15.87712513992517,15.87712513992517,0.03406,0.13089,0.00536,0.9897,-0.0716,8.597806219782063,-0.013335172298690162,0.003335172298690162,4.0,10.0,2.0,3.7831705886133205,0.002459396944628216,0.005136689667649336
Французский сплайн,20.0,50.0,0.25,0.04807199590058929,0.048071995900589186,1.0408340855860843e-16,0.047288058340929806,0.049073479766303746,-15.668858429081695,15.668858429081695,0.03405,0.13057,0.00513,0.9741,-0.1024,8.541035855477302,-0.006644232142134556,0.0033557678578654444,5.0,10.0,2.0,3.230179836229481,0.00653222868199292,0.004908442939422818
